 written on 26Jan2026 at 09:08:27 
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           4
         105
    1    2    2    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    2    1    1    1    1    2    2    1

   -6    3    0
    1    1   -0.59920829E-04 -0.41845444E-08
    2    1    0.17980967E-03 -0.15410420E-08
    3    1    0.15530310E-03  0.15508319E-08
    4    1    0.18443710E-04 -0.25256592E-09
    1    2   -0.12521374E-03 -0.23747172E-09
    2    2   -0.59927593E-04 -0.56969800E-09
    3    2    0.20362480E-03  0.31896498E-08
    4    2    0.15566570E-03  0.49548328E-09
    1    3    0.15566479E-03 -0.41587618E-08
    2    3    0.18444836E-04  0.17810713E-08
    3    3   -0.60697600E-04 -0.14729590E-08
    4    3    0.17988685E-03 -0.13720086E-08
    1    4    0.20361801E-03  0.33994612E-08
    2    4    0.15530569E-03  0.32566347E-08
    3    4   -0.12634705E-03 -0.37390745E-09
    4    4   -0.60704684E-04  0.27147551E-08

   -6    4    0
    1    1   -0.20707453E-03 -0.24895237E-09
    2    1    0.17980990E-03 -0.21380695E-08
    3    1   -0.28326465E-03 -0.59671535E-08
    4    1    0.18439578E-04 -0.24183039E-08
    1    2    0.70983205E-03  0.76740742E-08
    2    2   -0.20707488E-03 -0.13025325E-08
    3    2   -0.82424087E-04 -0.56722403E-08
    4    2   -0.28402001E-03  0.23992022E-08
    1    3   -0.28402087E-03 -0.17551832E-08
    2    3    0.18441998E-04  0.27437670E-08
    3    3   -0.20536467E-03  0.11135922E-08
    4    3    0.17988798E-03 -0.12632239E-08
    1    4   -0.82425882E-04  0.22318284E-08
    2    4   -0.28326699E-03  0.65536136E-08
    3    4    0.70959688E-03  0.46299909E-08
