 written on  4Feb2026 at 16:32:24 
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           4
         105
    1    2    2    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    2    1    1    1    1    2    2    1

   -6    3    0
    1    1   -0.33782118E-04  0.33609849E-08
    2    1    0.16627014E-03  0.92138209E-08
    3    1    0.71327954E-04 -0.98148623E-08
    4    1   -0.71724041E-04  0.92846653E-08
    1    2   -0.22735513E-03 -0.10049213E-07
    2    2    0.89257782E-05 -0.53605652E-08
    3    2   -0.28098706E-03  0.36145582E-08
    4    2    0.71712986E-04  0.56752558E-08
    1    3    0.75754452E-04 -0.80555234E-09
    2    3    0.18493028E-03 -0.21050765E-08
    3    3    0.87518032E-05  0.97270615E-08
    4    3    0.16597728E-03 -0.35007801E-08
    1    4   -0.12359649E-03 -0.66917925E-09
    2    4    0.75810479E-04  0.55621865E-08
    3    4   -0.22791489E-03 -0.57305844E-08
    4    4   -0.33956568E-04  0.12975716E-07

   -6    4    0
    1    1   -0.81413419E-04 -0.19359451E-08
    2    1    0.16626836E-03 -0.18205142E-08
    3    1    0.71332131E-04  0.40630777E-09
    4    1    0.94679748E-04 -0.32923165E-08
    1    2    0.60248861E-03  0.71517396E-08
    2    2    0.33582212E-04 -0.33970945E-08
    3    2    0.27506991E-04 -0.35912281E-09
    4    2    0.71720036E-04  0.49124381E-08
    1    3   -0.27178408E-03 -0.13979936E-07
    2    3   -0.32648388E-03  0.34638417E-08
    3    3    0.34692120E-04  0.80629164E-08
    4    3    0.16596833E-03 -0.26499524E-08
    1    4    0.34656205E-03  0.28261891E-08
    2    4   -0.27116977E-03  0.53663641E-08
    3    4    0.60166645E-03  0.10150911E-07
    4    4   -0.80830882E-04 -0.76727625E-08

   -5    0    0
    1    1    0.52903544E-03  0.12202893E-15
    2    1   -0.49129968E-03  0.31893987E-08
    3    1    0.38013504E-04  0.17607845E-08
    4    1    0.59755473E-04  0.20006143E-08
    1    2   -0.49129968E-03 -0.31893993E-08
    2    2   -0.10595571E-03  0.10926706E-15
    3    2    0.24082397E-03 -0.96331835E-08
    4    2    0.37997831E-04 -0.13934215E-07
    1    3    0.38013504E-04 -0.17607845E-08
    2    3    0.24082397E-03  0.96331835E-08
    3    3   -0.10707190E-03  0.10269057E-15
    4    3   -0.49100389E-03  0.61179836E-08
    1    4    0.59755473E-04 -0.20006143E-08
    2    4    0.37997831E-04  0.13934215E-07
    3    4   -0.49100389E-03 -0.61179844E-08
    4    4    0.52857693E-03  0.11852996E-15

   -5    1    0
    1    1   -0.24685196E-03 -0.53405466E-08
    2    1    0.90805871E-04 -0.13901685E-07
    3    1    0.18984929E-03  0.89016890E-08
    4    1   -0.40048522E-03 -0.67192373E-08
    1    2    0.35720009E-03  0.14650767E-07
    2    2   -0.21763348E-03  0.33638150E-08
    3    2   -0.12681060E-03 -0.13605442E-08
    4    2    0.18962102E-03  0.18972874E-08
    1    3    0.46870821E-04 -0.85124445E-08
    2    3    0.15618104E-03  0.37192914E-08
    3    3   -0.21748812E-03  0.30349907E-08
    4    3    0.91503871E-04 -0.81433577E-08
    1    4   -0.37766404E-03 -0.23409113E-08
    2    4    0.46498293E-04  0.20048093E-08
    3    4    0.35780699E-03  0.26047056E-08
    4    4   -0.24677328E-03  0.68346835E-09

   -5    2    0
    1    1    0.24679598E-03 -0.69753927E-09
    2    1    0.14104920E-03 -0.51000637E-08
    3    1   -0.44325224E-03  0.94055795E-08
    4    1    0.27629917E-03  0.37887840E-08
    1    2   -0.58597625E-03 -0.12489057E-08
    2    2    0.98669586E-04 -0.74329562E-08
    3    2    0.44090277E-03  0.49095815E-08
    4    2   -0.44341012E-03 -0.97930082E-08
    1    3    0.21556044E-03 -0.49131087E-08
    2    3   -0.30029058E-04  0.10050647E-07
    3    3    0.98062325E-04 -0.89303796E-09
    4    3    0.14111619E-03  0.60271883E-08
    1    4   -0.37767040E-03 -0.94507102E-08
    2    4    0.21563863E-03 -0.14906193E-08
    3    4   -0.58626421E-03  0.55722552E-08
    4    4    0.24660793E-03 -0.23608042E-08

   -5    3    0
    1    1    0.24679205E-03 -0.62642257E-08
    2    1   -0.54095859E-03 -0.62028009E-08
    3    1    0.40400572E-03  0.49101378E-08
    4    1   -0.71721797E-04 -0.88624359E-08
    1    2    0.35719678E-03  0.40315308E-08
    2    2    0.98677018E-04  0.18328997E-08
    3    2    0.44089808E-03  0.13940757E-08
    4    2    0.40371599E-03  0.12125302E-08
    1    3    0.46855381E-04 -0.63628648E-08
    2    3   -0.30032347E-04  0.27799691E-08
    3    3    0.98068645E-04  0.51587289E-08
    4    3   -0.54076176E-03 -0.38374604E-08
    1    4    0.59765753E-04  0.11727034E-07
    2    4    0.46498723E-04  0.68239860E-08
    3    4    0.35779871E-03 -0.82570503E-09
    4    4    0.24661841E-03  0.94182518E-08

   -5    4    0
    1    1   -0.24686409E-03  0.36331046E-08
    2    1    0.14105280E-03  0.22350964E-08
    3    1   -0.44324170E-03  0.14939755E-08
    4    1   -0.71725405E-04 -0.32529439E-08
    1    2   -0.49128985E-03 -0.33423716E-08
    2    2   -0.21764046E-03 -0.14746276E-08
    3    2   -0.12680283E-03  0.16368532E-08
    4    2   -0.44341908E-03  0.18679816E-08
    1    3    0.38015224E-04 -0.47392956E-08
    2    3    0.15617805E-03 -0.35383808E-08
    3    3   -0.21748988E-03 -0.13697071E-08
    4    3    0.14112678E-03  0.16224010E-08
    1    4   -0.40047987E-03 -0.27757433E-09
    2    4    0.38009260E-04  0.76866800E-08
    3    4   -0.49100155E-03 -0.52113151E-08
    4    4   -0.24677559E-03 -0.76559720E-08

   -5    5    0
    1    1    0.52905246E-03  0.53126369E-16
    2    1    0.90806305E-04  0.98369506E-09
    3    1    0.18983940E-03  0.25061016E-08
    4    1    0.27629974E-03 -0.93361510E-09
    1    2    0.90806305E-04 -0.98369524E-09
    2    2   -0.10595557E-03  0.43886532E-16
    3    2    0.24081975E-03 -0.66273529E-08
    4    2    0.18962508E-03 -0.11890894E-07
    1    3    0.18983940E-03 -0.25061016E-08
    2    3    0.24081975E-03  0.66273529E-08
    3    3   -0.10706860E-03  0.40011127E-16
    4    3    0.91487610E-04  0.27429448E-08
    1    4    0.27629974E-03  0.93361510E-09
    2    4    0.18962508E-03  0.11890894E-07
    3    4    0.91487610E-04 -0.27429450E-08
    4    4    0.52859133E-03  0.49528207E-16

   -4   -2    0
    1    1   -0.81409369E-04  0.29821734E-08
    2    1   -0.22734930E-03 -0.61293182E-08
    3    1    0.75760308E-04  0.13896258E-07
    4    1    0.53680782E-03  0.62946768E-08
    1    2    0.14104651E-03 -0.22790519E-08
    2    2    0.33577922E-04  0.35730247E-08
    3    2   -0.32647746E-03 -0.10537828E-08
    4    2    0.75797287E-04 -0.70844255E-08
    1    3   -0.44324528E-03  0.42626883E-08
    2    3    0.27509918E-04 -0.29519287E-08
    3    3    0.34697069E-04 -0.43934421E-08
    4    3   -0.22790334E-03 -0.33760755E-08
    1    4    0.44563731E-03  0.10111912E-07
    2    4   -0.44340858E-03  0.48362615E-08
    3    4    0.14111464E-03  0.85622100E-08
    4    4   -0.80820934E-04  0.40953491E-08

   -4   -1    0
    1    1   -0.24687597E-03 -0.39998894E-08
    2    1    0.60248824E-03  0.16152394E-08
    3    1   -0.27177974E-03 -0.18446772E-08
    4    1   -0.12360403E-03  0.21746876E-08
    1    2    0.28265534E-03 -0.19042322E-07
    2    2   -0.21765370E-03  0.95333043E-09
    3    2    0.15617673E-03 -0.25983781E-08
    4    2   -0.27118346E-03 -0.56121360E-08
    1    3    0.27673892E-03  0.11467191E-07
    2    3   -0.12680713E-03  0.24551509E-08
    3    3   -0.21747160E-03 -0.97868912E-08
    4    3    0.60165945E-03  0.16599036E-08
    1    4   -0.16591344E-03 -0.83169858E-08
    2    4    0.27723470E-03 -0.44058830E-08
    3    4    0.28170650E-03  0.69010316E-08
    4    4   -0.24677506E-03 -0.54673198E-08

   -4    0    0
    1    1    0.59709894E-05  0.73512407E-08
    2    1   -0.49126418E-03  0.10577257E-07
    3    1    0.38004273E-04  0.10557788E-07
    4    1    0.34657311E-03 -0.80126251E-09
    1    2    0.95715367E-03 -0.47984699E-08
    2    2    0.44642817E-03  0.11955290E-07
    3    2   -0.32663101E-03 -0.56922623E-08
    4    2    0.38021981E-04 -0.15072577E-07
    1    3   -0.40198306E-03  0.28902365E-08
    2    3   -0.32664077E-03 -0.55263737E-09
    3    3    0.44678538E-03 -0.73493867E-08
    4    3   -0.49102138E-03 -0.28712031E-08
    1    4    0.87086089E-03 -0.89739148E-08
    2    4   -0.40238131E-03  0.26447429E-08
    3    4    0.95804320E-03  0.70171833E-08
    4    4    0.60066522E-05 -0.51157414E-08

   -4    1    0
    1    1    0.52107662E-04  0.14792266E-09
    2    1    0.28266298E-03 -0.29121955E-08
    3    1    0.27673832E-03  0.53837101E-08
    4    1   -0.40048699E-03 -0.36716763E-08
    1    2   -0.18768997E-02 -0.13084891E-07
    2    2    0.19992724E-03 -0.50537744E-08
    3    2   -0.27515030E-03  0.28423669E-08
    4    2    0.27723637E-03 -0.12814394E-07
    1    3    0.30935490E-03  0.19524628E-07
    2    3    0.23392171E-03  0.12408568E-07
