 written on 23Jan2026 at 14:34:11 
   2.1304224930000002       -1.2300000000000000        0.0000000000000000     
   2.1304224930000002        1.2300000000000000        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        15.000000000000000     
           2
         105
    1    2    2    1    1    1    1    2    1    1    1    1    1    1    1
    1    2    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    2    1    1    1    1    1    1    1    1    1    2    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    1    1    2    1    1    1    1    2    2    1

   -6    3    0
    1    1    0.74106183E-04 -0.10195131E-09
    2    1   -0.12706526E-03  0.11913372E-09
    1    2   -0.12695562E-03  0.67881173E-10
    2    2    0.74128099E-04  0.96277927E-10

   -6    4    0
    1    1    0.19132805E-04 -0.79620487E-10
    2    1   -0.12706509E-03 -0.47227833E-10
    1    2    0.67204732E-03 -0.16632282E-09
    2    2    0.19150986E-04  0.50005070E-10

   -5    0    0
    1    1    0.96841411E-03 -0.50912345E-16
    2    1   -0.23179468E-03  0.64613141E-10
    1    2   -0.23179468E-03 -0.64613835E-10
    2    2    0.96846242E-03 -0.56323133E-16

   -5    1    0
    1    1   -0.14012071E-03  0.23099414E-10
    2    1   -0.23292557E-04  0.10445279E-09
    1    2   -0.40929595E-03  0.85740609E-10
    2    2   -0.14011065E-03  0.79461307E-11

   -5    2    0
    1    1    0.20581450E-03  0.32665481E-11
    2    1    0.10800795E-03  0.72329115E-10
    1    2   -0.82719539E-03  0.10125681E-09
    2    2    0.20577490E-03  0.33437932E-10

   -5    3    0
    1    1    0.20581439E-03 -0.10172587E-09
    2    1   -0.15921735E-03 -0.55726312E-10
    1    2   -0.40929556E-03 -0.16957706E-09
    2    2    0.20577493E-03  0.85425246E-10

   -5    4    0
    1    1   -0.14012078E-03 -0.98525478E-10
    2    1    0.10800819E-03 -0.46526311E-10
    1    2   -0.23179446E-03 -0.31141919E-09
    2    2   -0.14011050E-03  0.80593597E-10

   -5    5    0
    1    1    0.96841400E-03 -0.52813291E-16
    2    1   -0.23292552E-04  0.27554577E-09
    1    2   -0.23292552E-04 -0.27554594E-09
    2    2    0.96846240E-03 -0.57949068E-16

   -4   -2    0
    1    1    0.19133021E-04  0.28213851E-10
    2    1   -0.12695554E-03  0.24699201E-10
    1    2    0.10800799E-03 -0.19327761E-09
    2    2    0.19150860E-04 -0.51607907E-10

